,pot,species,co2_lvl,water_lvl,ag_biomass,bg_biomass,rep_biomass,flowers_num,fruit_num,transplanted_w_leaf,transplanted_w_radicle,total_cnt,ag_biomass_m,total_biomass,log_total_biomass,water_low,water_fluct,water_high,treatment
147,55,VEAN,0,Fluct,0.0773,0.1087,,,,11,0,11,0.007027272727272727,0.186,-1.6820086052689358,0,1,0,CO2Amb_WA
148,119,VEAN,0,Fluct,0.2261,0.3168,,,,11,0,11,0.020554545454545454,0.5429,-0.6108301380707316,0,1,0,CO2Amb_WA
149,134,VEAN,0,Fluct,0.2903,0.4589,,,,10,0,10,0.02903,0.7492,-0.28874930841220364,0,1,0,CO2Amb_WA
150,50,VEAN,0,High,0.0817,0.1499,,,,10,0,10,0.00817,0.2316,-1.462743533283297,0,0,1,CO2Amb_WH
151,101,VEAN,0,High,0.2969,1.0532,,,,10,0,10,0.02969,1.3500999999999999,0.3001786637810633,0,0,1,CO2Amb_WH
152,127,VEAN,0,High,0.3326,0.5982,,,,10,0,10,0.03326,0.9308,-0.07171084755400042,0,0,1,CO2Amb_WH
153,143,VEAN,0,High,0.1486,0.218,,,,11,0,11,0.01350909090909091,0.36660000000000004,-1.0034839435765324,0,0,1,CO2Amb_WH
154,175,VEAN,0,High,0.4062,0.5527,,,,10,0,10,0.04062,0.9589,-0.04196848482250158,0,0,1,CO2Amb_WH
155,180,VEAN,0,High,0.0979,0.1606,,,,10,0,10,0.00979,0.2585,-1.3528595850336531,0,0,1,CO2Amb_WH
157,47,VEAN,0,Low,0.6448,1.3424,,,,0,0,0,inf,1.9872,0.6867266127570226,1,0,0,CO2Amb_WL
158,94,VEAN,0,Low,0.309,0.272,,,,0,0,0,inf,0.581,-0.5430045221302259,1,0,0,CO2Amb_WL
159,95,VEAN,0,Low,0.3019,0.4299,,,,1,0,1,0.3019,0.7318,-0.3122480263970306,1,0,0,CO2Amb_WL
160,109,VEAN,0,Low,0.3687,0.5708,,,,4,0,4,0.092175,0.9395,-0.062407460128617046,1,0,0,CO2Amb_WL
162,10,VEAN,1,Fluct,0.2104,0.1523,,,,10,0,10,0.02104,0.3627,-1.0141792326932804,0,1,0,CO2High_WA
163,85,VEAN,1,Fluct,0.2535,0.2936,,,,10,0,10,0.02535,0.5471,-0.6031236779123568,0,1,0,CO2High_WA
164,115,VEAN,1,Fluct,0.1682,0.2388,,,,7,0,7,0.024028571428571427,0.40700000000000003,-0.898942093539542,0,1,0,CO2High_WA
165,122,VEAN,1,Fluct,0.4295,0.4657,,,,10,0,10,0.04295,0.8952,-0.11070812198442158,0,1,0,CO2High_WA
166,150,VEAN,1,Fluct,0.2006,0.1871,,,,10,0,10,0.02006,0.3877,-0.9475234343052537,0,1,0,CO2High_WA
167,151,VEAN,1,Fluct,0.2281,0.3202,,,,9,0,9,0.025344444444444444,0.5483,-0.6009326965721342,0,1,0,CO2High_WA
168,13,VEAN,1,High,0.2908,0.4317,,,,11,0,11,0.026436363636363636,0.7224999999999999,-0.32503785899554993,0,0,1,CO2High_WH
