,num,species,chamber,shelf,water_lvl,rep,ag_biomass,bg_biomass,diam,stem_len,root_len,ag2,bg2,total_biomass,log_total_biomass,co2_lvl,co2_cat,water_low,water_fluct,water_high,treatment
147,148,TACH,4,1,Fluct,6,0.3662,0.0627,1.27,,,,,0.42890000000000006,-0.8465314874593022,1,High,0,1,0,CO2High_WA
114,115,TACH,1,3,High,2,0.3071,0.2681,1.06,,,,,0.5751999999999999,-0.5530374725753002,0,Ambient,0,0,1,CO2Amb_WH
118,119,TACH,1,1,High,4,0.5338,0.154,1.06,,,,,0.6878000000000001,-0.3742571809839711,0,Ambient,0,0,1,CO2Amb_WH
120,121,TACH,1,2,High,5,0.2575,0.0857,0.77,,,,,0.3432,-1.0694419113683298,0,Ambient,0,0,1,CO2Amb_WH
123,124,TACH,2,1,High,1,0.1077,0.0581,0.85,,,,,0.1658,-1.7969730362809424,0,Ambient,0,0,1,CO2Amb_WH
127,128,TACH,2,2,High,3,0.1005,0.0225,0.73,,,,,0.123,-2.0955709236097197,0,Ambient,0,0,1,CO2Amb_WH
130,131,TACH,2,3,High,6,0.1165,0.0465,0.81,,,,,0.163,-1.8140050781753747,0,Ambient,0,0,1,CO2Amb_WH
133,134,TACH,3,3,High,3,0.5699,0.4165,1.44,,,,,0.9863999999999999,-0.013693327132002567,1,High,0,0,1,CO2High_WH
135,136,TACH,3,1,High,2,0.3017,0.0842,0.95,,,,,0.3859,-0.952177010438564,1,High,0,0,1,CO2High_WH
137,138,TACH,4,3,High,1,0.245,0.198,0.69,,,,,0.443,-0.8141855089370014,1,High,0,0,1,CO2High_WH
138,139,TACH,3,2,High,4,0.1473,0.0436,0.91,,,,,0.1909,-1.6560055482504352,1,High,0,0,1,CO2High_WH
146,147,TACH,4,1,High,5,0.2965,0.0401,1.08,,,,,0.3366,-1.0888599972254314,1,High,0,0,1,CO2High_WH
148,149,TACH,4,2,High,6,0.3134,0.1121,1.1,,,,,0.4255,-0.8544903309687083,1,High,0,0,1,CO2High_WH
113,114,TACH,1,2,Low,1,0.1323,0.0952,0.86,,,,,0.2275,-1.480605040591132,0,Ambient,1,0,0,CO2Amb_WL
116,117,TACH,1,3,Low,4,0.4607,0.1925,1.02,,,,,0.6532,-0.425871917885827,0,Ambient,1,0,0,CO2Amb_WL
119,120,TACH,1,1,Low,5,0.2255,0.1866,0.96,,,,,0.4121,-0.8864892406373653,0,Ambient,1,0,0,CO2Amb_WL
124,125,TACH,2,2,Low,2,0.0346,0.106,0.49,,,,,0.1406,-1.9618362996055725,0,Ambient,1,0,0,CO2Amb_WL
126,127,TACH,2,1,Low,3,0.5423,0.1397,1.46,,,,,0.6819999999999999,-0.38272562113867503,0,Ambient,1,0,0,CO2Amb_WL
129,130,TACH,2,3,Low,6,0.1777,0.1981,0.85,,,,,0.3758,-0.9786981920027721,0,Ambient,1,0,0,CO2Amb_WL
131,132,TACH,3,3,Low,1,0.5332,1.707,1.26,,,,,2.2402,0.8065651475955021,1,High,1,0,0,CO2High_WL
136,137,TACH,3,2,Low,3,0.6617,0.1583,1.2,,,,,0.82,-0.19845093872383832,1,High,1,0,0,CO2High_WL
140,141,TACH,3,1,Low,6,0.2795,0.1305,0.84,,,,,0.41000000000000003,-0.8915981192837835,1,High,1,0,0,CO2High_WL
141,142,TACH,4,3,Low,2,0.5789,0.1394,1.34,,,,,0.7182999999999999,-0.33086796990138123,1,High,1,0,0,CO2High_WL
143,144,TACH,4,2,Low,4,0.9058,0.0617,0.94,,,,,0.9675,-0.033039854078200155,1,High,1,0,0,CO2High_WL
145,146,TACH,4,1,Low,5,0.097,0.0179,0.69,,,,,0.1149,-2.163693094127427,1,High,1,0,0,CO2High_WL
